"","First_Name_Middle","Last_Name","Office_FilerType","Report_Type","Date_Received_Filed","Transaction_Date","Owner","Ticker","Asset_Name","Asset_Type","Transaction_Type","Amount","Comment"
"8168","Mike","Rounds","Rounds, Mike (Senator)","Periodic Transaction Report for 01/12/2016","01/12/2016",2015-12-28,"Spouse","--","Fischer, Rounds & Assoc., Inc (Insurance/Real Estate Agency, Pierre, SD)","Stock","Sale (Full)","$5,000,001 - $25,000,000","--"
"8169","Mike","Rounds","Rounds, Mike (Senator)","Periodic Transaction Report for 10/17/2016","10/17/2016",2016-09-26,"Joint","--","Bird Dog Hospitality, LLC
                                        
                                        
                                        
                                            
                                                
                                                    Company: Bird Dog Hospitality, LLC
                                                    
                                                         (Sioux Falls, SD)
                                                    
                                                
                                            

                                            
                                                Description: Hospitality Investments","Non-Public Stock","Purchase","$250,001 - $500,000","--"
"8170","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 10/28/2022","10/28/2022",2022-10-20,"Spouse","--","Alabama Highway Finance Auth Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 09/01/2026","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8171","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 10/28/2022","10/28/2022",2022-09-28,"Spouse","--","Washington County Oregon School District General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 06/15/2027","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8172","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 10/28/2022","10/28/2022",2022-09-28,"Spouse","--","Washington County Oregon School District General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 06/15/2027","Municipal Security","Purchase","$250,001 - $500,000","--"
"8173","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 12/21/2020","12/21/2020",2020-11-24,"Spouse","--","Tampa Florida Solid Waste System Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2021","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8174","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 12/21/2020","12/21/2020",2020-11-24,"Spouse","--","Tampa Florida Solid Waste System Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2021","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8175","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 12/21/2020","12/21/2020",2020-11-24,"Spouse","--","Tampa Florida Solid Waste System Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2021","Municipal Security","Purchase","$250,001 - $500,000","--"
"8176","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 02/04/2022","02/04/2022",2022-01-06,"Self","--","San Diego County Calif Regional Airport Auth Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 07/01/2043","Municipal Security","Purchase","$100,001 - $250,000","--"
"8177","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 08/15/2022","08/15/2022",2022-08-01,"Self","--","Miami-Dade County FL Aviation Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2031","Municipal Security","Purchase","$100,001 - $250,000","--"
"8178","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 08/15/2022","08/15/2022",2022-08-01,"Spouse","--","Miami-Dade County FL Aviation Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2031","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8179","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 08/15/2022","08/15/2022",2021-09-15,"Spouse","--","Emida Corporation
                                        
                                        
                                        
                                            
                                                
                                                    Company: Emida Corporation
                                                    
                                                         (Foothill Ranch, CA)
                                                    
                                                
                                            

                                            
                                                Description: Financial technology","Non-Public Stock","Sale (Full)","$50,001 - $100,000","--"
"8180","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 08/15/2022","08/15/2022",2021-09-15,"Spouse","--","Emida Corporation
                                        
                                        
                                        
                                            
                                                
                                                    Company: Emida Corporation
                                                    
                                                         (Foothill Ranch, CA)
                                                    
                                                
                                            

                                            
                                                Description: Financial technology","Non-Public Stock","Sale (Full)","$100,001 - $250,000","--"
"8181","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 08/15/2022","08/15/2022",2021-09-15,"Self","--","Emida Corporation
                                        
                                        
                                        
                                            
                                                
                                                    Company: Emida Corporation
                                                    
                                                         (Foothill Ranch, CA)
                                                    
                                                
                                            

                                            
                                                Description: Financial technology","Non-Public Stock","Sale (Full)","$50,001 - $100,000","--"
"8182","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-30,"Spouse","--","Washington State Healthcare Facilities Auth Revenue Bond - Multicare Health Sys
                                        
                                        
                                        
                                            Rate/Coupon: 6.0%Matures: 08/15/2039","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8183","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-30,"Spouse","--","Illinois Financial Auth - Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 7.75%Matures: 08/15/2034","Municipal Security","Purchase","$250,001 - $500,000","--"
"8184","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-30,"Spouse","--","Washington State Healthcare Facilities Auth Revenue Bond - Providence Health & Services
                                        
                                        
                                        
                                            Rate/Coupon: 5.25%Matures: 10/01/2039","Municipal Security","Purchase","$100,001 - $250,000","--"
"8185","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-29,"Spouse","--","Carroll County Kentucky Pollution Control Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 1.05%Matures: 09/01/2042","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8186","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-26,"Spouse","--","Georgia State General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 07/01/2019","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8187","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-30,"Spouse","--","South Carolina Jobs - Economic Dev Auth Hospital Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.75%Matures: 08/01/2039","Municipal Security","Purchase","$250,001 - $500,000","--"
"8188","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-30,"Spouse","--","Washington State Health Care Facilities Auth Revenue Bond - Multicare Health Sys
                                        
                                        
                                        
                                            Rate/Coupon: 6.0%Matures: 08/15/2039","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8189","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-30,"Spouse","--","Washington State Health Care Facilities Auth Revenue Bond - Providence Health & Services
                                        
                                        
                                        
                                            Rate/Coupon: 5.25%Matures: 10/01/2039","Municipal Security","Purchase","$100,001 - $250,000","--"
"8190","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-29,"Spouse","--","Carroll County Kentucky Pollution Control Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 1.05%Matures: 09/01/2042","Municipal Security","Purchase","$250,001 - $500,000","--"
"8191","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-26,"Spouse","--","Georgia State General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 07/01/2019","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8192","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-26,"Spouse","--","Georgia State General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 07/01/2019","Municipal Security","Purchase","$100,001 - $250,000","--"
"8193","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-25,"Spouse","--","Chester County Pennsylvania General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 07/15/2029","Municipal Security","Purchase","$1,000,001 - $5,000,000","--"
"8194","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-25,"Spouse","--","Chester County Pennsylvania General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 07/15/2029","Municipal Security","Purchase","$1,000,001 - $5,000,000","--"
"8195","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-16,"Spouse","--","Long Island Power Authority Elec Sys Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 6.0%Matures: 05/01/2033","Municipal Security","Purchase","$1,000,001 - $5,000,000","--"
"8196","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-15,"Spouse","--","King County Washington General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 06/01/2029","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8197","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-16,"Spouse","--","Long Island Power Authority Elec Sys Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 6.0%Matures: 05/01/2033","Municipal Security","Purchase","$1,000,001 - $5,000,000","--"
"8198","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-15,"Spouse","--","King County Washington General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 06/01/2029","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8199","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-15,"Spouse","--","Wisconsin State Health & Educational Facilities Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 4.0%Matures: 11/15/2043","Municipal Security","Purchase","$100,001 - $250,000","--"
"8200","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-11,"Spouse","--","City of Detroit Michigan Sewage Disp Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 7.0%Matures: 07/01/2027","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8201","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-10,"Spouse","--","Niles Ohio City School District Bond
                                        
                                        
                                        
                                            Rate/Coupon: 4.35%Matures: 12/01/2024","Municipal Security","Purchase","$100,001 - $250,000","--"
"8202","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-10,"Spouse","--","University Medical Center Corporation - Tucson Arizona Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 6.5%Matures: 07/01/2039","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8203","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-11,"Spouse","--","City of Detroit Michigan Sewage Disp Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 7.0%Matures: 07/01/2027","Municipal Security","Purchase","$250,001 - $500,000","--"
"8204","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-10,"Spouse","--","University Medical Center Corporation - Tucson Arizona Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 6.5%Matures: 07/01/2039","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8205","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/08/2019","05/08/2019",2019-04-09,"Spouse","--","Wisconsin State General Obligation Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 05/01/2021","Municipal Security","Purchase","$100,001 - $250,000","--"
"8206","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/05/2022","05/05/2022",2022-04-12,"Spouse","--","Jacksonville Florida Transportation Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2027","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8207","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/05/2022","05/05/2022",2022-04-06,"Spouse","--","Broward County Florida Airport System Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2026","Municipal Security","Purchase","$250,001 - $500,000","--"
"8208","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 05/05/2022","05/05/2022",2022-04-06,"Spouse","--","Broward County Florida Airport System Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 10/01/2026","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8209","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-09-16,"Self","--","New York City Municipal Water Fin Auth Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 06/15/2038","Municipal Security","Purchase","$100,001 - $250,000","--"
"8210","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-09-16,"Spouse","--","New York City Municipal Water Fin Auth Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 06/15/2038","Municipal Security","Purchase","$250,001 - $500,000","--"
"8211","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-09-16,"Self","--","New York State Urban Development Corp Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 03/15/2037","Municipal Security","Purchase","$100,001 - $250,000","--"
"8212","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-09-16,"Spouse","--","New York State Urban Development Corp Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 03/15/2037","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8213","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-09-16,"Spouse","--","New York State Urban Development Corp Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 03/15/2037","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8214","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-09-16,"Spouse","--","New York State Urban Development Corp Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 03/15/2037","Municipal Security","Purchase","$250,001 - $500,000","--"
"8215","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-09-03,"Spouse","--","New York State Dorm Auth State Personal Income Tax Revenue Bond
                                        
                                        
                                        
                                            Rate/Coupon: 5.0%Matures: 12/15/2027","Municipal Security","Purchase","$500,001 - $1,000,000","--"
"8216","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-08-27,"Spouse","--","Ysleta Texas Independent School District Ref Bond (Exchanged)
                                            
                                            Ysleta Texas Independent School District Ref Bond (Received)
                                        
                                        
                                        
                                            Rate/Coupon: 4.0%Matures: 08/15/2031","Municipal Security","Exchange","$1,001 - $15,000","--"
"8217","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-08-26,"Spouse","--","Ysleta Texas Independent School District Ref Bond (Exchanged)
                                            
                                            Ysleta Texas Independent School District Ref Bond (Received)
                                        
                                        
                                        
                                            Rate/Coupon: 4.0%Matures: 08/15/2031","Municipal Security","Exchange","$500,001 - $1,000,000","--"
"8218","Rick","Scott","Scott, Rick (Senator)","Periodic Transaction Report for 09/26/2020","09/26/2020",2020-08-27,"Spouse","--","Ysleta Texas Independent School District Ref Bond (Exchanged)
                                            
                                            Ysleta Texas Independent School District Ref Bond (Received)
                                        
                                        
                                        
                                            Rate/Coupon: 4.0%Matures: 08/15/2031","Municipal Security","Exchange","$1,001 - $15,000","--"
